file,model,prompt,target_bpm,tempo_bpm,tempo_stability,beat_strength,key,key_stability,tonal_strength,success
prompt_000_seed00.wav,musicgen-small,"rock, 97 BPM, instrumentation: piano, bass, drums, structure: 4-bar intro, 32-bar development, lo-fi texture",97,,0.8502022400955304,,,,0.07588537379797944,True
prompt_000_seed01.wav,musicgen-small,"rock, 97 BPM, instrumentation: piano, bass, drums, structure: 4-bar intro, 32-bar development, lo-fi texture",97,,0.8808432184600805,,,,0.08962958277950761,True
prompt_000_seed02.wav,musicgen-small,"rock, 97 BPM, instrumentation: piano, bass, drums, structure: 4-bar intro, 32-bar development, lo-fi texture",97,,0.9182141085094082,,,,0.060096291536702484,True
prompt_001_seed00.wav,musicgen-small,"electronic, 78 BPM, instrumentation: guitar, bass, drums, structure: 4-bar intro, 32-bar development, phaser",78,,0.7556307188711704,,,,0.15270025176013113,True
prompt_001_seed01.wav,musicgen-small,"electronic, 78 BPM, instrumentation: guitar, bass, drums, structure: 4-bar intro, 32-bar development, phaser",78,,0.979541897437175,,,,0.058486945142364966,True
prompt_001_seed02.wav,musicgen-small,"electronic, 78 BPM, instrumentation: guitar, bass, drums, structure: 4-bar intro, 32-bar development, phaser",78,,0.9839182973892849,,,,0.11850127954358591,True
prompt_002_seed00.wav,musicgen-small,"techno, 97 BPM, instrumentation: piano, bass, drums, structure: 8-bar intro, 16-bar verse, 16-bar chorus, reverb",97,,1.0,,,,0.15985395194104302,True
prompt_002_seed01.wav,musicgen-small,"techno, 97 BPM, instrumentation: piano, bass, drums, structure: 8-bar intro, 16-bar verse, 16-bar chorus, reverb",97,,1.0,,,,0.08875033933637477,True
prompt_002_seed02.wav,musicgen-small,"techno, 97 BPM, instrumentation: piano, bass, drums, structure: 8-bar intro, 16-bar verse, 16-bar chorus, reverb",97,,0.8865480812059785,,,,0.08382253294455133,True
prompt_003_seed00.wav,musicgen-small,"dubstep, 177 BPM, instrumentation: piano, bass, drums, structure: intro-A-B-A, distortion",177,,0.7666936005431176,,,,0.06716398403119561,True
